code;url;product_name;generic_name;quantity;packaging;brands;categories;pnns_groups_1;pnns_groups_2;main_category;image_url;image_small_url
3083681074017;https://world.openfoodfacts.org/product/3083681074017;Frischer Family-Mix;Salatmischung; ℮ 300 g;Kunststoff,Tüte;Bonduelle;Salate;unknown;unknown;de:salate;https://static.openfoodfacts.org/images/products/308/368/107/4017/front_de.5.400.jpg;https://static.openfoodfacts.org/images/products/308/368/107/4017/front_de.5.200.jpg
8053904630707;https://world.openfoodfacts.org/product/8053904630707;Shirataki Konjac Chicchi;Chicchi di Konjac;200 g;carton,plastique,boîte;AsiaTica;Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereals and their products, Pasta, Products without gluten, Gluten-free pasta, Konjac;Cereals and potatoes;Cereals;en:gluten-free-pasta;https://static.openfoodfacts.org/images/products/805/390/463/0707/front_en.8.400.jpg;https://static.openfoodfacts.org/images/products/805/390/463/0707/front_en.8.200.jpg
8053904630011;https://world.openfoodfacts.org/product/8053904630011;Konjac Linguine;Konjac Linguine;200g;innerbox;WokFoods;Konjac;unknown;unknown;it:konjac;https://static.openfoodfacts.org/images/products/805/390/463/0011/front_en.7.400.jpg;https://static.openfoodfacts.org/images/products/805/390/463/0011/front_en.7.200.jpg
5060335635259;https://world.openfoodfacts.org/product/5060335635259;Monster Ripper;Koffeinhaltiges Erfrischungsbegränk mit 30% Fruchtsaft aus Fruchtsaftkonzentraten, Taurin, L-Carnitin, Guarana und B-Vitaminen;500 ml ℮;Dose,ALU,Einwegpfand;Monster;Getränke, Energy-Drinks, Gezuckerte Getränke, Ungezuckerte Getränke;Beverages;Sweetened beverages;en:energy-drinks;https://static.openfoodfacts.org/images/products/506/033/563/5259/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/506/033/563/5259/front_de.7.200.jpg
4260121349709;https://world.openfoodfacts.org/product/4260121349709;Sweet One Citrus;Backmischung mit Zitronengeschmack zur Herstellung eines Kuchens in der Tasse zur Zubereitung in der Mikrowelle. Mit Süßungsmitteln.;℮ 300 g;Kunststoff,Dose;Best Body Nutrition;Snacks, Süßwaren, Kekse und Kuchen, Kuchen, Nahrungsergänzungsmittel, Nahrungsergänzungen für Bodybuilder, Cooking helpers, Dessert mixes, Backmischungen für Kuchen, Pastry helpers;Sugary snacks;Biscuits and cakes;en:cake-mixes;https://static.openfoodfacts.org/images/products/426/012/134/9709/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/426/012/134/9709/front_de.6.200.jpg
4006482100159;https://world.openfoodfacts.org/product/4006482100159;Original Nürnberger Rostbratwürste;;10 Stück (200 g ℮);Kunststoff;Schlüter's Echte!;Nürnberger Rostbratwürste;unknown;unknown;de:nurnberger-rostbratwurste;https://static.openfoodfacts.org/images/products/400/648/210/0159/front_de.3.400.jpg;https://static.openfoodfacts.org/images/products/400/648/210/0159/front_de.3.200.jpg
2201222004465;https://world.openfoodfacts.org/product/2201222004465;Hähnchen Filet-Streifen frisch;;0,406 kg;Kunststoff,Schalde;Reers Geflügel;Hähnchen Filet-Streifen;unknown;unknown;de:hahnchen-filet-streifen;https://static.openfoodfacts.org/images/products/220/122/200/4465/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/220/122/200/4465/front_de.8.200.jpg
4005696405203;https://world.openfoodfacts.org/product/4005696405203;Münsterländer Originale;;8 Eier;Eierkarton;L.S: Regional;Farming products, Vogeleier, Chicken eggs, Eier aus Freilandhaltung;Fish Meat Eggs;Eggs;en:free-range-chicken-eggs;https://static.openfoodfacts.org/images/products/400/569/640/5203/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/400/569/640/5203/front_de.8.200.jpg
29010578;https://world.openfoodfacts.org/product/29010578;Nut Flakes;Knusprige Cornflakes mit Erdnuss-Stückchen;750 g ℮;Pappe,Kunststoff;Gletscherkrone;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Getreide und Kartoffeln, Getreideprodukte, Frühstückscerealien, Flakes, Frühstücksflocken;Cereals and potatoes;Breakfast cereals;en:cereal-flakes;https://static.openfoodfacts.org/images/products/29010578/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/29010578/front_de.7.200.jpg
4011800216009;https://world.openfoodfacts.org/product/4011800216009;Gelee Schwarze Johannisbeeren;Schwarze Johannisbeeren Gelee extra;225 g;Glas;Schwartau;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frühstücke, Brotaufstriche, Pflanzliche Brotaufstriche, Süße Brotaufstriche, Konfitüren und Marmeladen;Sugary snacks;Sweets;en:fruit-preserves;https://static.openfoodfacts.org/images/products/401/180/021/6009/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/401/180/021/6009/front_de.8.200.jpg
